# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
8.899641e-03 3.427620e+04 3.660155e+04 3.167307e+04 3.401535e+04
1.507912e-02 5.339566e+04 5.231327e+04 5.079253e+04 4.972706e+04
2.144790e-02 6.256587e+04 6.193444e+04 5.996274e+04 5.934824e+04
2.783661e-02 4.117827e+04 4.061990e+04 3.857514e+04 3.803369e+04
3.435100e-02 3.760848e+04 3.733116e+04 3.500535e+04 3.474495e+04
4.047887e-02 3.130267e+04 3.126089e+04 2.869954e+04 2.867468e+04
4.676717e-02 3.004789e+04 2.971728e+04 2.744476e+04 2.713107e+04
5.308225e-02 2.560350e+04 2.543121e+04 2.300037e+04 2.284500e+04
5.945362e-02 2.571913e+04 2.515806e+04 2.311600e+04 2.257185e+04
6.576225e-02 2.251558e+04 2.260324e+04 1.991245e+04 2.001704e+04
7.196633e-02 2.118598e+04 2.092124e+04 1.858285e+04 1.833504e+04
7.827861e-02 2.180856e+04 2.156574e+04 1.920543e+04 1.897954e+04
8.470399e-02 1.804414e+04 1.794456e+04 1.544101e+04 1.535836e+04
9.096855e-02 1.596840e+04 1.591131e+04 1.336527e+04 1.332511e+04
9.720790e-02 1.477435e+04 1.453065e+04 1.217122e+04 1.194445e+04
1.034763e-01 1.404677e+04 1.390134e+04 1.144364e+04 1.131513e+04
1.097576e-01 1.234826e+04 1.233685e+04 9.745127e+03 9.750641e+03
1.160543e-01 1.194853e+04 1.168052e+04 9.345397e+03 9.094317e+03
1.223670e-01 1.082544e+04 1.071850e+04 8.222310e+03 8.132296e+03
1.286817e-01 1.108482e+04 1.090123e+04 8.481693e+03 8.315028e+03
1.349501e-01 1.027744e+04 1.019582e+04 7.674308e+03 7.609618e+03
1.411950e-01 9.741195e+03 9.608791e+03 7.138066e+03 7.022586e+03
1.475134e-01 9.441378e+03 9.391478e+03 6.838249e+03 6.805273e+03
1.537865e-01 9.001968e+03 8.863679e+03 6.398839e+03 6.277475e+03
1.600658e-01 8.499029e+03 8.360006e+03 5.895900e+03 5.773801e+03
1.663991e-01 8.042122e+03 7.934689e+03 5.438992e+03 5.348485e+03
1.727196e-01 7.964817e+03 7.814132e+03 5.361687e+03 5.227928e+03
1.789765e-01 7.430944e+03 7.347098e+03 4.827815e+03 4.760893e+03
1.852354e-01 7.379187e+03 7.325714e+03 4.776058e+03 4.739509e+03
1.914807e-01 7.166151e+03 7.044153e+03 4.563022e+03 4.457948e+03
1.977890e-01 6.987715e+03 6.904837e+03 4.384585e+03 4.318632e+03
2.040938e-01 6.698515e+03 6.615658e+03 4.095385e+03 4.029453e+03
2.103939e-01 6.580381e+03 6.488636e+03 3.977251e+03 3.902431e+03
2.166910e-01 6.430550e+03 6.348543e+03 3.827421e+03 3.762338e+03
2.229700e-01 6.184047e+03 6.068088e+03 3.580917e+03 3.481884e+03
2.292620e-01 5.905183e+03 5.849926e+03 3.302053e+03 3.263721e+03
2.355142e-01 5.842530e+03 5.766278e+03 3.239400e+03 3.180073e+03
2.417911e-01 5.637501e+03 5.520837e+03 3.034371e+03 2.934632e+03
2.480857e-01 5.536759e+03 5.479131e+03 2.933629e+03 2.892927e+03
2.543492e-01 5.431233e+03 5.314179e+03 2.828104e+03 2.727974e+03
2.606334e-01 5.277722e+03 5.240551e+03 2.674593e+03 2.654346e+03
2.669257e-01 5.193311e+03 5.141186e+03 2.590181e+03 2.554981e+03
2.732423e-01 5.078790e+03 4.982717e+03 2.475660e+03 2.396513e+03
2.795530e-01 5.025095e+03 4.960943e+03 2.421965e+03 2.374738e+03
2.858366e-01 4.889966e+03 4.859977e+03 2.286837e+03 2.273773e+03
2.920876e-01 4.953117e+03 4.847660e+03 2.349988e+03 2.261455e+03
2.983450e-01 4.778891e+03 4.702893e+03 2.175762e+03 2.116688e+03
3.046383e-01 4.730959e+03 4.636404e+03 2.127829e+03 2.050199e+03
3.109279e-01 4.586180e+03 4.506067e+03 1.983050e+03 1.919863e+03
