# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
5.057159e-01 3.264402e+03 3.207183e+03 7.891234e+02 7.481260e+02
5.119924e-01 3.218111e+03 3.163645e+03 7.428325e+02 7.045888e+02
5.183126e-01 3.223021e+03 3.192986e+03 7.477424e+02 7.339295e+02
5.246090e-01 3.181641e+03 3.142068e+03 7.063631e+02 6.830110e+02
5.308757e-01 3.213232e+03 3.180335e+03 7.379542e+02 7.212786e+02
5.371574e-01 3.175702e+03 3.130065e+03 7.004239e+02 6.710088e+02
5.434580e-01 3.158196e+03 3.107625e+03 6.829174e+02 6.485683e+02
5.497431e-01 3.118980e+03 3.073464e+03 6.437016e+02 6.144074e+02
5.559937e-01 3.110346e+03 3.074769e+03 6.350682e+02 6.157127e+02
5.622855e-01 3.075872e+03 3.044054e+03 6.005941e+02 5.849973e+02
5.686012e-01 3.082312e+03 3.033538e+03 6.070337e+02 5.744817e+02
5.748805e-01 3.066453e+03 3.033197e+03 5.911753e+02 5.741398e+02
5.811550e-01 3.053195e+03 3.011051e+03 5.779165e+02 5.519944e+02
5.874394e-01 2.998064e+03 2.966053e+03 5.227859e+02 5.069959e+02
5.937176e-01 3.008464e+03 2.973132e+03 5.331861e+02 5.140756e+02
5.999972e-01 2.998949e+03 2.965675e+03 5.236704e+02 5.066179e+02
6.062679e-01 2.991549e+03 2.954276e+03 5.162704e+02 4.952189e+02
6.125470e-01 2.984671e+03 2.941399e+03 5.093931e+02 4.823423e+02
6.188478e-01 2.954512e+03 2.924430e+03 4.792338e+02 4.653731e+02
6.251311e-01 2.950656e+03 2.918100e+03 4.753775e+02 4.590437e+02
6.314027e-01 2.946569e+03 2.925124e+03 4.712910e+02 4.660673e+02
6.377004e-01 2.933309e+03 2.908731e+03 4.580308e+02 4.496746e+02
6.439858e-01 2.931966e+03 2.893929e+03 4.566877e+02 4.348721e+02
6.502685e-01 2.896400e+03 2.839865e+03 4.211216e+02 3.808080e+02
6.565586e-01 2.888544e+03 2.849895e+03 4.132654e+02 3.908378e+02
6.628369e-01 2.908204e+03 2.868831e+03 4.329259e+02 4.097742e+02
6.691185e-01 2.866117e+03 2.828944e+03 3.908390e+02 3.698870e+02
6.754070e-01 2.861306e+03 2.835683e+03 3.860281e+02 3.766265e+02
6.816836e-01 2.848390e+03 2.803572e+03 3.731114e+02 3.445150e+02
6.879593e-01 2.841259e+03 2.808149e+03 3.659804e+02 3.490920e+02
6.942344e-01 2.847469e+03 2.818291e+03 3.721905e+02 3.592343e+02
7.005175e-01 2.828636e+03 2.799670e+03 3.533582e+02 3.406131e+02
7.068125e-01 2.827104e+03 2.794007e+03 3.518259e+02 3.349499e+02
7.131019e-01 2.825144e+03 2.795669e+03 3.498659e+02 3.366123e+02
7.193918e-01 2.802630e+03 2.772324e+03 3.273514e+02 3.132672e+02
7.256834e-01 2.794430e+03 2.757837e+03 3.191518e+02 2.987805e+02
7.319653e-01 2.794160e+03 2.755002e+03 3.188821e+02 2.959457e+02
7.382508e-01 2.768411e+03 2.737626e+03 2.931333e+02 2.785696e+02
7.445266e-01 2.762606e+03 2.727445e+03 2.873281e+02 2.683881e+02
7.507871e-01 2.760255e+03 2.737215e+03 2.849765e+02 2.781578e+02
7.570758e-01 2.769922e+03 2.743266e+03 2.946438e+02 2.842089e+02
7.633641e-01 2.732917e+03 2.706135e+03 2.576385e+02 2.470781e+02
7.696463e-01 2.746642e+03 2.721640e+03 2.713634e+02 2.625830e+02
7.759395e-01 2.738844e+03 2.711248e+03 2.635654e+02 2.521911e+02
7.822329e-01 2.747161e+03 2.711868e+03 2.718831e+02 2.528117e+02
7.885315e-01 2.737989e+03 2.712751e+03 2.627105e+02 2.536940e+02
7.947897e-01 2.726998e+03 2.693739e+03 2.517203e+02 2.346824e+02
8.010491e-01 2.732787e+03 2.692137e+03 2.575087e+02 2.330800e+02
8.073364e-01 2.697035e+03 2.663881e+03 2.217567e+02 2.048244e+02
8.136229e-01 2.695305e+03 2.670945e+03 2.200273e+02 2.118880e+02
8.199153e-01 2.694863e+03 2.667132e+03 2.195853e+02 2.080756e+02
8.261953e-01 2.685555e+03 2.659350e+03 2.102767e+02 2.002937e+02
8.324897e-01 2.700615e+03 2.665743e+03 2.253369e+02 2.066866e+02
8.387959e-01 2.694634e+03 2.664941e+03 2.193561e+02 2.058843e+02
8.450635e-01 2.685970e+03 2.652567e+03 2.106918e+02 1.935100e+02
8.513283e-01 2.675684e+03 2.646092e+03 2.004057e+02 1.870350e+02
8.576198e-01 2.671329e+03 2.643614e+03 1.960511e+02 1.845577e+02
8.639058e-01 2.667486e+03 2.628836e+03 1.922080e+02 1.697788e+02
8.701839e-01 2.672565e+03 2.636611e+03 1.972869e+02 1.775545e+02
8.764641e-01 2.661790e+03 2.629347e+03 1.865114e+02 1.702902e+02
8.827504e-01 2.651965e+03 2.626604e+03 1.766872e+02 1.675468e+02
8.890333e-01 2.659665e+03 2.624842e+03 1.843869e+02 1.657856e+02
8.953084e-01 2.640212e+03 2.615109e+03 1.649334e+02 1.560524e+02
9.015957e-01 2.648851e+03 2.621650e+03 1.735726e+02 1.625933e+02
9.078833e-01 2.648611e+03 2.615344e+03 1.733328e+02 1.562869e+02
9.141744e-01 2.641301e+03 2.611574e+03 1.660227e+02 1.525177e+02
9.204631e-01 2.639011e+03 2.612070e+03 1.637332e+02 1.530133e+02
9.267434e-01 2.645537e+03 2.614623e+03 1.702587e+02 1.555667e+02
9.330324e-01 2.632650e+03 2.594605e+03 1.573717e+02 1.355485e+02
9.393266e-01 2.625850e+03 2.597107e+03 1.505719e+02 1.380501e+02
9.455975e-01 2.627202e+03 2.588900e+03 1.519240e+02 1.298435e+02
9.518660e-01 2.620570e+03 2.586600e+03 1.452918e+02 1.275434e+02
9.581413e-01 2.620909e+03 2.599925e+03 1.456305e+02 1.408678e+02
9.644351e-01 2.604338e+03 2.583297e+03 1.290597e+02 1.242405e+02
9.707356e-01 2.623416e+03 2.596451e+03 1.481374e+02 1.373944e+02
9.770081e-01 2.605337e+03 2.574759e+03 1.300587e+02 1.157021e+02
9.832823e-01 2.601062e+03 2.574508e+03 1.257835e+02 1.154508e+02
9.895570e-01 2.611997e+03 2.583254e+03 1.367188e+02 1.241973e+02
9.958456e-01 2.614720e+03 2.587053e+03 1.394421e+02 1.279959e+02
1.002136e+00 2.610932e+03 2.583602e+03 1.356543e+02 1.245451e+02
1.008405e+00 2.613610e+03 2.589927e+03 1.383315e+02 1.308704e+02
1.014694e+00 2.604818e+03 2.580630e+03 1.295395e+02 1.215730e+02
1.020993e+00 2.605562e+03 2.578362e+03 1.302837e+02 1.193051e+02
1.027274e+00 2.602271e+03 2.578832e+03 1.269933e+02 1.197749e+02
1.033559e+00 2.595631e+03 2.577308e+03 1.203526e+02 1.182515e+02
1.039848e+00 2.596031e+03 2.575107e+03 1.207531e+02 1.160499e+02
1.046127e+00 2.604930e+03 2.579402e+03 1.296521e+02 1.203456e+02
1.052403e+00 2.592170e+03 2.576137e+03 1.168922e+02 1.170805e+02
1.058681e+00 2.608371e+03 2.582619e+03 1.330933e+02 1.235618e+02
1.064964e+00 2.605244e+03 2.583417e+03 1.299657e+02 1.243606e+02
1.071257e+00 2.600409e+03 2.567347e+03 1.251305e+02 1.082902e+02
1.077544e+00 2.595045e+03 2.565826e+03 1.197669e+02 1.067696e+02
1.083825e+00 2.603914e+03 2.566211e+03 1.286356e+02 1.071544e+02
1.090108e+00 2.600470e+03 2.577273e+03 1.251917e+02 1.182163e+02
1.096390e+00 2.599839e+03 2.579968e+03 1.245606e+02 1.209108e+02
1.102681e+00 2.597325e+03 2.572654e+03 1.220467e+02 1.135973e+02
1.108963e+00 2.600070e+03 2.572188e+03 1.247920e+02 1.131314e+02
1.115225e+00 2.607203e+03 2.580285e+03 1.319246e+02 1.212282e+02
1.121502e+00 2.615328e+03 2.590697e+03 1.400495e+02 1.316400e+02
1.127793e+00 2.599046e+03 2.577807e+03 1.237679e+02 1.187502e+02
1.134090e+00 2.606191e+03 2.586140e+03 1.309124e+02 1.270837e+02
1.140364e+00 2.609927e+03 2.583624e+03 1.346489e+02 1.245677e+02
1.146639e+00 2.610560e+03 2.585396e+03 1.352818e+02 1.263392e+02
1.152942e+00 2.613543e+03 2.591987e+03 1.382646e+02 1.329307e+02
1.159229e+00 2.619133e+03 2.586417e+03 1.438544e+02 1.273602e+02
1.165509e+00 2.617729e+03 2.592350e+03 1.424507e+02 1.332932e+02
1.171793e+00 2.622990e+03 2.591679e+03 1.477118e+02 1.326225e+02
1.178087e+00 2.624460e+03 2.595982e+03 1.491816e+02 1.369251e+02
1.184368e+00 2.614136e+03 2.594235e+03 1.388581e+02 1.351783e+02
1.190635e+00 2.626580e+03 2.602108e+03 1.513017e+02 1.430517e+02
1.196912e+00 2.627606e+03 2.602607e+03 1.523282e+02 1.435504e+02
1.203202e+00 2.624190e+03 2.597649e+03 1.489122e+02 1.385924e+02
1.209487e+00 2.633860e+03 2.608951e+03 1.585820e+02 1.498948e+02
1.215764e+00 2.637152e+03 2.614650e+03 1.618739e+02 1.555930e+02
1.222050e+00 2.642716e+03 2.618636e+03 1.674378e+02 1.595790e+02
1.228341e+00 2.650677e+03 2.622616e+03 1.753984e+02 1.635594e+02
1.234633e+00 2.645594e+03 2.626611e+03 1.703156e+02 1.675542e+02
1.240902e+00 2.666304e+03 2.643103e+03 1.910259e+02 1.840459e+02
1.247175e+00 2.651239e+03 2.631617e+03 1.759611e+02 1.725605e+02
1.253465e+00 2.668124e+03 2.639732e+03 1.928462e+02 1.806749e+02
1.259750e+00 2.657464e+03 2.633014e+03 1.821861e+02 1.739576e+02
