1.000000000000000082e-05 2.120996851998178499e+03
1.084365968689610889e-05 2.118142745916043168e+03
1.175849554052155680e-05 2.115291878732385612e+03
1.275051240713012877e-05 2.112444190902819628e+03
1.382622173764656422e-05 2.109599623189852537e+03
1.499268432786047117e-05 2.106758116662035263e+03
1.625755666443793416e-05 2.103919612693139243e+03
1.762914118095948102e-05 2.101084052961345606e+03
1.911644075385703765e-05 2.098251379448446187e+03
2.072921779595369722e-05 2.095421534439067273e+03
2.247805833548725246e-05 2.092594460519908807e+03
2.437444150122221616e-05 2.089770100578990878e+03
2.643081486974102921e-05 2.086948397804929300e+03
2.866067616948250315e-05 2.084129295686213027e+03
3.107866187782013960e-05 2.081312738010506564e+03
3.370064329271925001e-05 2.078498668863966031e+03
3.654383070957254701e-05 2.075687032630565227e+03
3.962688638701478144e-05 2.072877773991439426e+03
4.297004704320843692e-05 2.070070837924255557e+03
4.659525668664677475e-05 2.067266169702567367e+03
5.052631065335679548e-05 2.064463714895219709e+03
5.478901179593944910e-05 2.061663419365744630e+03
5.941133984965039921e-05 2.058865229271780663e+03
6.442363508721369713e-05 2.056069091064501208e+03
6.985879746785248997e-05 2.053274951488066563e+03
7.575250258771920673e-05 2.050482757579075496e+03
8.214343584919422232e-05 2.047692456666036605e+03
8.907354638610440330e-05 2.044903996368867865e+03
9.658832241158708354e-05 2.042117324598383220e+03
1.047370897959449686e-04 2.039332319713866809e+03
1.135733358343105206e-04 2.036547689220904886e+03
1.231550603292826216e-04 2.033761176938267909e+03
1.335451562929898853e-04 2.030970729115333370e+03
1.448118227674532956e-04 2.028175144056187719e+03
1.570290124729377390e-04 2.025373410393558288e+03
1.702769172225899476e-04 2.022564015464935892e+03
1.846424942895542453e-04 2.019744887602407744e+03
2.002200371815584547e-04 2.016913835139124330e+03
2.171117945694505205e-04 2.014068126565832472e+03
2.354286414322417768e-04 2.011204850584674205e+03
2.552908068239516468e-04 2.008320580815730864e+03
2.768286630392066683e-04 2.005411104502450826e+03
3.001835813575589175e-04 2.002472010408171627e+03
3.255088599835056465e-04 1.999497693291891665e+03
3.529707302730650319e-04 1.996482005823996133e+03
3.827494478516315301e-04 1.993418014352501586e+03
4.150404757850472488e-04 1.990297125385251775e+03
4.500557675700497698e-04 1.987110405266683301e+03
4.880251583654433758e-04 1.983846817449844821e+03
5.291978735958442325e-04 1.980494016746072248e+03
5.738441648302393047e-04 1.977038579034518079e+03
