# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
2.00636 168.149 1917056 168.149
2.01577 167.425 1941554 167.425
2.02525 166.175 1978040 166.175
2.03477 165.2 1997426 165.2
2.04433 164.023 2029256 164.023
2.05393 162.975 2056370 162.975
2.06357 161.66 2084000 161.66
2.07326 160.73 2117778 160.73
2.083 159.698 2143952 159.698
2.09278 158.642 2175614 158.642
2.10261 157.431 2206400 157.431
2.11248 156.509 2233970 156.509
2.12241 155.637 2276456 155.637
2.13239 154.587 2301848 154.587
2.1424 153.232 2332922 153.232
2.15246 152.365 2366960 152.365
2.16256 151.344 2397698 151.344
2.17272 150.228 2436644 150.228
2.18293 149.45 2472608 149.45
2.19319 148.171 2503050 148.171
2.20348 147.388 2535392 147.388
2.21383 146.333 2581088 146.333
2.22424 145.23 2612762 145.23
2.23469 144.368 2647964 144.368
2.24518 143.339 2687216 143.339
2.25573 142.18 2724434 142.18
2.26633 141.091 2765840 141.091
2.27697 140.163 2798504 140.163
2.28766 139.241 2841326 139.241
2.29841 138.103 2886128 138.103
2.30921 137.507 2920808 137.507
2.32005 136.467 2967536 136.467
2.33094 135.414 3000674 135.414
2.34188 134.547 3050324 134.547
2.35289 133.723 3094664 133.723
2.36395 132.495 3136016 132.495
2.37505 131.84 3179546 131.84
2.38621 130.99 3227060 130.99
2.39742 129.825 3271832 129.825
2.40868 129.083 3315440 129.083
2.41998 128.186 3363800 128.186
2.43135 127.282 3414158 127.282
2.44278 126.18 3459752 126.18
2.45425 125.255 3508864 125.255
2.46578 124.529 3560804 124.529
2.47736 123.638 3608912 123.638
2.489 122.702 3660608 122.702
2.50068 121.813 3707846 121.813
2.51243 120.883 3769664 120.883
2.52424 120.047 3822920 120.047
2.53609 119.229 3863564 119.229
2.548 118.326 3930704 118.326
2.55998 117.379 3986168 117.379
2.572 116.698 4034228 116.698
2.58406 116.022 4090816 116.022
2.5962 115.017 4160360 115.017
2.60841 114.205 4213436 114.205
2.62066 113.229 4270976 113.229
2.63296 112.561 4332308 112.561
2.64533 111.738 4395896 111.738
2.65775 110.825 4454378 110.825
2.67023 110.164 4517036 110.164
2.68278 109.368 4588552 109.368
2.69539 108.494 4651316 108.494
2.70805 107.718 4711190 107.718
2.72076 106.88 4782704 106.88
2.73355 106.133 4849964 106.133
2.74639 105.351 4917080 105.351
2.75928 104.588 4985260 104.588
2.77224 103.857 5060456 103.857
2.78527 103.021 5127788 103.021
2.79835 102.387 5201672 102.387
2.81149 101.501 5278196 101.501
2.8247 100.787 5350384 100.787
2.83797 100.084 5423492 100.084
2.8513 99.2855 5504720 99.2855
2.86469 98.5132 5581268 98.5132
2.87815 97.8492 5659270 97.8492
2.89166 97.1142 5736332 97.1142
2.90524 96.3347 5823104 96.3347
2.91889 95.7655 5909900 95.7655
2.93261 94.9357 5986168 94.9357
2.94637 94.2261 6064034 94.2261
2.96021 93.5672 6162248 93.5672
2.97412 92.8882 6249932 92.8882
2.9881 92.1944 6331588 92.1944
3.00213 91.3891 6424736 91.3891
3.01623 90.793 6515066 90.793
3.0304 90.1324 6607552 90.1324
3.04463 89.4355 6691412 89.4355
3.05892 88.7988 6796676 88.7988
3.0733 88.1339 6894838 88.1339
3.08773 87.3935 6983324 87.3935
3.10224 86.7881 7094120 86.7881
3.11681 86.1807 7182634 86.1807
3.13145 85.5678 7295588 85.5678
3.14616 84.968 7389992 84.968
3.16094 84.2101 7499434 84.2101
3.17579 83.6533 7606244 83.6533
3.1907 83.0608 7703654 83.0608
3.20568 82.3692 7823908 82.3692
3.22074 81.8353 7933148 81.8353
3.23587 81.1591 8035210 81.1591
3.25107 80.5958 8168648 80.5958
3.26635 80.0079 8270402 80.0079
3.28169 79.4197 8396284 79.4197
3.2971 78.8933 8496608 78.8933
3.31258 78.2165 8636482 78.2165
3.32814 77.5901 8744780 77.5901
3.34377 77.0653 8878274 77.0653
3.35948 76.5146 8998288 76.5146
3.37526 75.9487 9127058 75.9487
3.39111 75.3378 9258676 75.3378
3.40704 74.7217 9394994 74.7217
3.42305 74.215 9518530 74.215
3.43912 73.7176 9652352 73.7176
3.45528 73.1388 9800506 73.1388
3.47151 72.6052 9929156 72.6052
3.48782 72.1475 10079002 72.1475
3.5042 71.6169 10202930 71.6169
3.52065 71.0724 10362148 71.0724
3.53719 70.6024 10508450 70.6024
3.5538 70.0438 10647784 70.0438
3.5705 69.5509 10817954 69.5509
3.58727 69.0629 10950034 69.0629
3.60411 68.5786 11116484 68.5786
3.62105 68.089 11277610 68.089
3.63806 67.629 11430154 67.629
3.65514 67.1189 11580074 67.1189
3.6723 66.6488 11759140 66.6488
3.68955 66.1798 11924378 66.1798
3.70689 65.7045 12099850 65.7045
3.7243 65.2832 12260050 65.2832
3.7418 64.7786 12439484 64.7786
3.75937 64.3419 12606226 64.3419
3.77703 63.946 12800474 63.946
3.79477 63.4419 12964258 63.4419
3.81259 63.0783 13155874 63.0783
3.8305 62.6258 13345394 62.6258
3.84849 62.2198 13525540 62.2198
3.86657 61.8476 13730122 61.8476
3.88473 61.4096 13917890 61.4096
3.90298 61.0123 14114938 61.0123
3.92131 60.6358 14316682 60.6358
3.93974 60.2554 14520626 60.2554
3.95824 59.8457 14708962 59.8457
3.97682 59.4912 14936002 59.4912
3.9955 59.1392 15141986 59.1392
4.01428 58.7707 15366994 58.7707
4.03313 58.4296 15563242 58.4296
4.05207 58.0844 15794614 58.0844
4.07111 57.7169 16021226 57.7169
4.09023 57.4123 16238338 57.4123
4.10944 57.0624 16476706 57.0624
4.12874 56.7873 16717282 56.7873
4.14814 56.464 16935730 56.464
4.16762 56.192 17183270 56.192
4.18719 55.8903 17431546 55.8903
4.20686 55.614 17672128 55.614
4.22662 55.3183 17929450 55.3183
4.24648 55.0418 18181246 55.0418
4.26643 54.8266 18436154 54.8266
4.28646 54.5496 18688066 54.5496
4.30659 54.289 18966160 54.289
4.32682 54.0749 19228342 54.0749
4.34714 53.8504 19497994 53.8504
4.36756 53.6461 19789402 53.6461
4.38808 53.4459 20048224 53.4459
4.40868 53.2581 20340694 53.2581
4.42939 53.0976 20631698 53.0976
4.4502 52.9563 20920738 52.9563
4.4711 52.7636 21224764 52.7636
4.49211 52.6275 21524794 52.6275
4.51321 52.5411 21819694 52.5411
4.53441 52.4152 22136776 52.4152
4.55571 52.2881 22446490 52.2881
4.5771 52.2163 22753708 52.2163
4.5986 52.1464 23092930 52.1464
4.6202 52.0854 23405020 52.0854
4.6419 52.0497 23744914 52.0497
4.66371 51.9914 24090094 51.9914
4.68561 52.0128 24416584 52.0128
4.70762 52.0219 24763822 52.0219
4.72973 52.0617 25116112 52.0617
4.75194 52.1033 25474348 52.1033
4.77427 52.1848 25839802 52.1848
4.79669 52.2516 26191732 52.2516
4.81921 52.3748 26563339 52.3748
4.84183 52.2064 26678128 52.2064
4.86457 51.9195 26655828 51.9195
4.88742 51.6632 26675140 51.6632
4.91038 51.3888 26644864 51.3888
4.93344 51.1201 26631640 51.1201
4.95661 50.8481 26619904 50.8481
4.9799 50.5789 26596180 50.5789
5.00329 50.3196 26557060 50.3196
5.02679 50.1073 26532520 50.1073
5.0504 49.8571 26493240 49.8571
5.07412 49.6288 26453764 49.6288
5.09795 49.4247 26412544 49.4247
5.1219 49.1602 26360476 49.1602
5.14595 48.9638 26299600 48.9638
5.17012 48.7515 26254092 48.7515
5.19441 48.5308 26178916 48.5308
5.21881 48.318 26116096 48.318
5.24332 48.1281 26040928 48.1281
5.26795 47.941 25967736 47.941
5.29269 47.7702 25862260 47.7702
5.31755 47.5881 25796416 47.5881
5.34253 47.4373 25689396 47.4373
5.36762 47.2649 25577176 47.2649
5.39283 47.083 25489588 47.083
5.41816 46.9337 25373328 46.9337
5.44362 46.8058 25250224 46.8058
5.46918 46.6572 25122124 46.6572
5.49487 46.51 24990660 46.51
5.52068 46.4134 24856192 46.4134
5.54661 46.2939 24706228 46.2939
5.57266 46.1901 24558204 46.1901
5.59883 46.1019 24392068 46.1019
5.62513 46.0054 24237480 46.0054
5.65155 45.9226 24064336 45.9226
5.67809 45.8934 23876980 45.8934
5.70476 45.8002 23697324 45.8002
5.73156 45.7605 23498488 45.7605
5.75848 45.7468 23292324 45.7468
5.78553 45.7003 23100964 45.7003
5.81271 45.7037 22862988 45.7037
5.84 45.6795 22634848 45.6795
5.86743 45.7148 22410012 45.7148
5.89499 45.7287 22160572 45.7287
5.92268 45.7736 21915600 45.7736
5.9505 45.7928 21645516 45.7928
5.97844 45.8839 21372232 45.8839
6.00652 45.9527 21101172 45.9527
6.03474 46.0684 20815564 46.0684
6.06308 46.1596 20504628 46.1596
6.09156 46.2965 20204736 46.2965
6.12017 46.4402 19883356 46.4402
6.14891 46.6243 19552848 46.6243
6.17779 46.7877 19217196 46.7877
6.20681 47.0111 18861736 47.0111
6.23596 47.2019 18502836 47.2019
6.26525 47.453 18135780 47.453
6.29467 47.692 17749600 47.692
6.32424 47.9993 17354232 47.9993
6.35394 48.2741 16953228 48.2741
6.38378 48.6137 16529656 48.6137
6.41376 48.9244 16099164 48.9244
6.44388 49.2507 15659388 49.2507
6.47415 49.6118 15207864 49.6118
6.50455 49.9496 14736132 49.9496
6.5351 50.3 14255596 50.3
6.56579 50.6898 13762332 50.6898
6.59662 51.024 13252296 51.024
6.6276 51.3923 12731268 51.3923
6.65872 51.6765 12198720 51.6765
6.68999 51.9433 11649660 51.9433
6.72141 52.1053 11081952 52.1053
6.75296 52.1711 10500652 52.1711
6.78467 52.1015 9911376 52.1015
6.81652 51.8726 9301473 51.8726
6.84856 51.5985 8737218 51.5985
6.88073 51.555 8239530 51.555
6.91305 51.5704 7788972 51.5704
6.94552 51.6809 7357452 51.6809
6.97814 51.8737 6958434 51.8737
7.01093 52.022 6572454 52.022
7.04385 52.3441 6204966 52.3441
7.07693 52.5979 5851524 52.5979
7.11016 52.9537 5518854 52.9537
7.14356 53.3241 5192928 53.3241
7.17711 53.6732 4883690 53.6732
7.21082 54.3213 4585122 54.3213
7.24468 54.7519 4294452 54.7519
7.27871 55.3877 4020870 55.3877
7.31289 55.9782 3750774 55.9782
7.34723 56.6665 3496122 56.6665
7.38174 57.3849 3250038 57.3849
7.41641 58.24 3010904 58.24
7.45123 59.2134 2783520 59.2134
7.48622 60.1344 2566482 60.1344
7.52138 61.2285 2355504 61.2285
7.55668 62.4417 2154350 62.4417
7.59215 63.6504 1964322 63.6504
7.62781 65.1283 1782180 65.1283
7.66364 66.509 1608354 66.509
7.69963 68.1335 1442012 68.1335
7.73577 69.7424 1285878 69.7424
7.77208 71.584 1137636 71.584
7.80856 73.8076 999476 73.8076
7.84519 76.181 867846 76.181
7.88195 78.3671 746768 78.3671
7.91894 81.1296 636276 81.1296
7.95615 83.8761 532566 83.8761
7.99345 87.0875 435044 87.0875
8.03087 90.6305 351690 90.6305
8.06861 94.1503 275630 94.1503
8.1063 98.2069 204876 98.2069
8.14415 102.58 150770 102.58
8.18252 107.455 100542 107.455
8.22015 112.648 59294 112.648
8.25771 118.386 32538 118.386
8.29571 123.611 11726 123.611
8.32962 140.9 1560 140.9
8.35799 60.1102 1 60.1102
