# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.101448 4836.8 312 4836.8
0.101924 5939.26 168 5939.26
0.102421 5137.06 336 5137.06
0.102983 6263.73 336 6263.73
0.103243 5356.27 192 5356.27
0.103879 5543.89 288 5543.89
0.104279 5186.92 216 5186.92
0.104705 5491.29 240 5491.29
0.105349 5636.92 384 5636.92
0.1057 5930.99 72 5930.99
0.106152 4945.97 336 4945.97
0.106914 4731.33 378 4731.33
0.107244 5123.84 144 5123.84
0.107631 5131.8 384 5131.8
0.10826 4995.94 384 4995.94
0.108777 4662.29 344 4662.29
0.10919 5043.16 144 5043.16
0.109816 4865.85 456 4865.85
0.110311 4917.9 312 4917.9
0.110746 5078.91 144 5078.91
0.111354 4692.07 552 4692.07
0.111965 4627.85 264 4627.85
0.112557 4386.47 264 4386.47
0.112926 4720.06 294 4720.06
0.113378 4534.09 432 4534.09
0.113986 4682.72 432 4682.72
0.114516 4512.05 264 4512.05
0.114915 4050.2 192 4050.2
0.115567 4381.07 468 4381.07
0.116093 4822.06 552 4822.06
0.116705 5087.04 336 5087.04
0.117239 4183.23 288 4183.23
0.117777 4501.25 456 4501.25
0.118366 4675.43 432 4675.43
0.118788 4165.55 168 4165.55
0.119469 4066.35 566 4066.35
0.120077 4177.13 432 4177.13
0.120751 4483.05 432 4483.05
0.121153 3970.68 360 3970.68
0.121711 3917.96 624 3917.96
0.122203 4258.75 264 4258.75
0.122718 4210.27 360 4210.27
0.123453 4090.32 456 4090.32
0.123969 4132.28 504 4132.28
0.12467 3872.17 564 3872.17
0.12526 4472.02 384 4472.02
0.125876 4553.48 462 4553.48
0.126429 4167.7 624 4167.7
0.127121 4464.67 432 4464.67
0.127677 4070.2 624 4070.2
0.128318 4668.17 312 4668.17
0.128807 4571.22 552 4571.22
0.129504 3919.79 408 3919.79
0.129878 4148.12 600 4148.12
0.130701 4128.52 608 4128.52
0.131297 3655.91 504 3655.91
0.131933 4179.22 510 4179.22
0.13258 4230.34 600 4230.34
0.133214 3608.65 492 3608.65
0.133672 3916.38 552 3916.38
0.134446 3847.12 696 3847.12
0.13492 3437.22 504 3437.22
0.135589 3874.7 528 3874.7
0.136149 4190.94 624 4190.94
0.136788 3694.21 504 3694.21
0.137489 3756.88 552 3756.88
0.138157 3488 654 3488
0.138792 3691.09 840 3691.09
0.139482 3608.21 744 3608.21
0.140148 3802.1 456 3802.1
0.140735 3467.54 648 3467.54
0.141506 3721.43 896 3721.43
0.142105 3632.03 396 3632.03
0.142726 3550.61 816 3550.61
0.14348 3612.22 672 3612.22
0.144008 3726.76 552 3726.76
0.14474 3331.79 894 3331.79
0.145447 3704.52 672 3704.52
0.146112 3218.31 624 3218.31
0.146784 3515.88 888 3515.88
0.147376 3447.58 720 3447.58
0.148179 3294.93 936 3294.93
0.148977 3647.45 648 3647.45
0.149637 3250.9 936 3250.9
0.150285 3696.23 696 3696.23
0.151106 3086.7 618 3086.7
0.151697 3168.28 1008 3168.28
0.15237 3410.02 872 3410.02
0.153147 3351.87 960 3351.87
0.153934 3209.9 888 3209.9
0.154569 3048.83 648 3048.83
0.155288 3204.66 840 3204.66
0.155941 3181.31 912 3181.31
0.156682 3236.12 774 3236.12
0.157451 3073.4 1272 3073.4
0.158249 3251.75 912 3251.75
0.159019 3128.8 864 3128.8
